day,x,y,z
205,-1.5051654426247793E12,-9.794199256993474E11,1.892739083267012E7
206,-1.5116877103036028E12,-9.84002069661903E11,1.8978590453669287E7
207,-1.5182097225081611E12,-9.885840472281323E11,1.902978813538832E7
208,-1.5247314815050378E12,-9.931658598188428E11,1.908098389479263E7
209,-1.5312529895307256E12,-9.977475088366903E11,1.9132177748631656E7
210,-1.5377742487921575E12,-1.0023289956664882E12,1.9183369713442426E7
211,-1.544295261467226E12,-1.0069103216755083E12,1.9234559805553097E7
212,-1.550816029705292E12,-1.0114914882137766E12,1.9285748041086383E7
213,-1.5573365556276797E12,-1.0160724966143622E12,1.933693443596295E7
214,-1.5638568413281648E12,-1.0206533481936603E12,1.9388119005904704E7
215,-1.5703768888734487E12,-1.0252340442516697E12,1.9439301766438037E7
216,-1.5768967003036245E12,-1.0298145860722638E12,1.9490482732896976E7
217,-1.5834162776326323E12,-1.0343949749234569E12,1.9541661920426287E7
218,-1.5899356228487046E12,-1.0389752120576644E12,1.959283934398448E7
219,-1.5964547379148027E12,-1.0435552987119576E12,1.964401501834678E7
220,-1.6029736247690442E12,-1.0481352361083141E12,1.9695188958107997E7
221,-1.6094922853251204E12,-1.0527150254538619E12,1.9746361177685365E7
222,-1.6160107214727053E12,-1.0572946679411202E12,1.97975316913213E7
223,-1.6225289350778574E12,-1.0618741647482335E12,1.9848700513086103E7
224,-1.6290469279834111E12,-1.0664535170392025E12,1.9899867656880632E7
225,-1.6355647020093616E12,-1.0710327259641096E12,1.9951033136438884E7
226,-1.6420822589532402E12,-1.0756117926593403E12,2.000219696533055E7
227,-1.6485996005904849E12,-1.0801907182477997E12,2.0053359156963527E7
228,-1.655116728674799E12,-1.0847695038391255E12,2.0104519724586386E7
229,-1.6616336449385068E12,-1.0893481505298961E12,2.0155678681290783E7
230,-1.6681503510928994E12,-1.0939266594038352E12,2.0206836040013846E7
231,-1.6746668488285737E12,-1.0985050315320117E12,2.0257991813540515E7
232,-1.6811831398157664E12,-1.1030832679730369E12,2.030914601450584E7
233,-1.687699225704679E12,-1.107661369773256E12,2.0360298655397266E7
234,-1.6942151081257976E12,-1.1122393379669385E12,2.041144974855683E7
235,-1.7007307886902063E12,-1.116817173576462E12,2.0462599306183375E7
236,-1.7072462689898943E12,-1.121394877612495E12,2.05137473403347E7
237,-1.7137615505980564E12,-1.1259724510741753E12,2.056489386292967E7
238,-1.7202766350693882E12,-1.130549894949284E12,2.061603888575032E7
239,-1.7267915239403755E12,-1.1351272102144177E12,2.06671824204439E7
240,-1.7333062187295781E12,-1.1397043978351572E12,2.0718324478524875E7
241,-1.7398207209379075E12,-1.144281458766232E12,2.0769465071376923E7
242,-1.7463350320488997E12,-1.1488583939516829E12,2.0820604210254878E7
243,-1.7528491535289827E12,-1.153435204325021E12,2.0871741906286635E7
244,-1.7593630868277395E12,-1.1580118908093843E12,2.0922878170475043E7
245,-1.7658768333781646E12,-1.16258845431769E12,2.097401301369975E7
246,-1.7723903945969165E12,-1.1671648957527856E12,2.102514644671902E7
247,-1.7789037718845662E12,-1.1717412160075972E12,2.107627848017152E7
248,-1.7854169666258389E12,-1.176317415965273E12,2.1127409124578074E7
249,-1.7919299801898535E12,-1.180893496499327E12,2.1178538390343376E7
250,-1.7984428139303564E12,-1.1854694584737778E12,2.12296662877577E7
251,-1.8049554691859502E12,-1.190045302743287E12,2.128079282699854E7
252,-1.8114679472803198E12,-1.194621030153293E12,2.1331918018132273E7
253,-1.8179802495224531E12,-1.199196641540143E12,2.1383041871115744E7
254,-1.8244923772068586E12,-1.2037721377312249E12,2.1434164395797852E7
255,-1.8310043316137778E12,-1.2083475195450925E12,2.1485285601921096E7
256,-1.8375161140093948E12,-1.212922787791593E12,2.1536405499123093E7
257,-1.8440277256460408E12,-1.2174979432719888E12,2.1587524096938085E7
258,-1.8505391677623967E12,-1.222072986779079E12,2.1638641404798396E7
259,-1.8570504415836907E12,-1.226647919097319E12,2.1689757432035886E7
260,-1.8635615483218918E12,-1.2312227410029358E12,2.1740872187883355E7
261,-1.870072489175902E12,-1.235797453264044E12,2.179198568147595E7
262,-1.8765832653317427E12,-1.2403720566407578E12,2.1843097921852525E7
263,-1.883093877962739E12,-1.2449465518853027E12,2.1894208917957E7
264,-1.8896043282297007E12,-1.2495209397421238E12,2.1945318678639658E7
265,-1.8961146172810996E12,-1.2540952209479924E12,2.199642721265846E7
266,-1.9026247462532444E12,-1.2586693962321123E12,2.2047534528680317E7
267,-1.9091347162704512E12,-1.2632434663162222E12,2.2098640635282338E7
268,-1.9156445284452126E12,-1.2678174319146978E12,2.2149745540953066E7
269,-1.9221541838783633E12,-1.2723912937346519E12,2.2200849254093688E7
270,-1.9286636836592415E12,-1.2769650524760322E12,2.2251951783019226E7
271,-1.9351730288658496E12,-1.2815387088317183E12,2.23030531359597E7
272,-1.9416822205650107E12,-1.286112263487616E12,2.2354153321061272E7
273,-1.9481912598125232E12,-1.2906857171227515E12,2.2405252346387386E7
274,-1.9547001476533118E12,-1.2952590704093623E12,2.2456350219919868E7
275,-1.9612088851215767E12,-1.299832324012988E12,2.2507446949560013E7
276,-1.9677174732409402E12,-1.3044054785925593E12,2.2558542543129664E7
277,-1.9742259130245906E12,-1.3089785348004849E12,2.2609637008372266E7
278,-1.9807342054754233E12,-1.3135514932827373E12,2.266073035295389E7
279,-1.9872423515861807E12,-1.3181243546789375E12,2.271182258446426E7
280,-1.993750352339588E12,-1.322697119622438E12,2.2762913710417744E7
281,-2.0002582087084878E12,-1.3272697887404045E12,2.281400373825435E7
282,-2.0067659216559736E12,-1.3318423626538965E12,2.286509267534068E7
283,-2.0132734921355183E12,-1.3364148419779458E12,2.2916180528970886E7
284,-2.0197809210911023E12,-1.3409872273216353E12,2.2967267306367617E7
285,-2.0262882094573396E12,-1.3455595192881743E12,2.3018353014682915E7
286,-2.0327953581596016E12,-1.3501317184749753E12,2.306943766099915E7
287,-2.0393023681141382E12,-1.354703825473727E12,2.3120521252329882E7
288,-2.0458092402281978E12,-1.3592758408704673E12,2.317160379562076E7
289,-2.0523159754001445E12,-1.3638477652456558E12,2.322268529775038E7
290,-2.0588225745195745E12,-1.368419599174244E12,2.3273765765531123E7
291,-2.0653290384674292E12,-1.3729913432257446E12,2.3324845205710016E7
292,-2.0718353681161082E12,-1.3775629979643008E12,2.3375923624969542E7
293,-2.0783415643295784E12,-1.3821345639487522E12,2.3427001029928457E7
294,-2.0848476279634832E12,-1.386706041732703E12,2.347807742714259E7
295,-2.091353559865249E12,-1.3912774318645852E12,2.3529152823105633E7
296,-2.0978593608741902E12,-1.3958487348877249E12,2.3580227224249925E7
297,-2.1043650318216123E12,-1.400419951340404E12,2.3631300636947207E7
298,-2.110870573530914E12,-1.4049910817559236E12,2.3682373067509387E7
299,-2.117375986817687E12,-1.4095621266626643E12,2.3733444522189282E7
300,-2.1238812724898142E12,-1.4141330865841477E12,2.378451500718135E7
301,-2.1303864313475674E12,-1.4187039620390947E12,2.383558452862241E7
302,-2.136891464183702E12,-1.423274753541485E12,2.3886653092592355E7
303,-2.143396371783551E12,-1.4278454616006147E12,2.3937720705114827E7
304,-2.1499011549251184E12,-1.432416086721152E12,2.3988787372157924E7
305,-2.156405814379169E12,-1.4369866294031946E12,2.403985309963486E7
306,-2.1629103509093184E12,-1.441557090142324E12,2.4090917893404618E7
307,-2.1694147652721216E12,-1.4461274694296597E12,2.41419817592726E7
308,-2.1759190582171594E12,-1.450697767751913E12,2.4193044702991262E7
309,-2.1824232304871245E12,-1.4552679855914397E12,2.4244106730260722E7
310,-2.1889272828179053E12,-1.4598381234262913E12,2.429516784672938E7
311,-2.1954312159386687E12,-1.464408181730267E12,2.4346228057994507E7
312,-2.2019350305719424E12,-1.4689781609729636E12,2.439728736960285E7
313,-2.208438727433695E12,-1.4735480616198247E12,2.44483457870512E7
314,-2.2149423072334146E12,-1.4781178841321904E12,2.449940331578696E7
315,-2.2214457706741885E12,-1.4826876289673447E12,2.4550459961208723E7
316,-2.2279491184527783E12,-1.4872572965785635E12,2.4601515728666816E7
317,-2.2344523512596963E12,-1.4918268874151611E12,2.4652570623463847E7
318,-2.240955469779281E12,-1.4963964019225364E12,2.470362465085526E7
319,-2.247458474689768E12,-1.5009658405422178E12,2.4754677816049866E7
320,-2.253961366663366E12,-1.5055352037119087E12,2.4805730124210358E7
321,-2.260464146366326E12,-1.5101044918655312E12,2.4856781580453854E7
322,-2.2669668144590107E12,-1.5146737054332695E12,2.490783218985241E7
323,-2.273469371595965E12,-1.519242844841613E12,2.4958881957433518E7
324,-2.2799718184259844E12,-1.5238119105133984E12,2.5009930888180625E7
325,-2.2864741555921826E12,-1.5283809028678513E12,2.5060978987033624E7
326,-2.2929763837320557E12,-1.5329498223206274E12,2.5112026258889347E7
327,-2.2994785034775493E12,-1.5375186692838525E12,2.516307270860205E7
328,-2.3059805154551226E12,-1.542087444166163E12,2.5214118340983894E7
329,-2.3124824202858105E12,-1.546656147372745E12,2.5265163160805427E7
330,-2.318984218585288E12,-1.551224779305373E12,2.5316207172796033E7
331,-2.325485910963931E12,-1.555793340362448E12,2.5367250381644417E7
332,-2.3319874980268765E12,-1.5603618309390352E12,2.541829279199904E7
333,-2.338488980374082E12,-1.5649302514269014E12,2.5469334408468574E7
334,-2.344990358600386E12,-1.5694986022145518E12,2.552037523562236E7
335,-2.3514916332955664E12,-1.5740668836872659E12,2.557141527799083E7
336,-2.357992805044395E12,-1.5786350962271326E12,2.5622454540065933E7
337,-2.3644938744266973E12,-1.5832032402130867E12,2.5673493026301585E7
338,-2.370994842017406E12,-1.587771316020942E12,2.5724530741114073E7
339,-2.3774957083866167E12,-1.5923393240234268E12,2.5775567688882466E7
340,-2.3839964740996426E12,-1.5969072645902168E12,2.582660387394904E7
341,-2.390497139717067E12,-1.6014751380879688E12,2.5877639300619666E7
342,-2.396997705794796E12,-1.606042944880353E12,2.5928673973164216E7
343,-2.403498172884112E12,-1.6106106853280864E12,2.5979707895816956E7
344,-2.4099985415317217E12,-1.6151783597889636E12,2.6030741072776932E7
345,-2.4164988122798105E12,-1.619745968617889E12,2.6081773508208357E7
346,-2.42299898566609E12,-1.6243135121669072E12,2.6132805206240978E7
347,-2.429499062223846E12,-1.6288809907852349E12,2.618383617097046E7
348,-2.435999042481991E12,-1.6334484048192896E12,2.6234866406458743E7
349,-2.4424989269651074E12,-1.6380157546127205E12,2.6285895916734416E7
350,-2.4489987161934976E12,-1.6425830405064377E12,2.6336924705793064E7
351,-2.4554984106832295E12,-1.6471502628386414E12,2.6387952777597625E7
352,-2.461998010946182E12,-1.6517174219448499E12,2.6438980136078745E7
353,-2.468497517490092E12,-1.6562845181579287E12,2.649000678513511E7
354,-2.4749969308185957E12,-1.6608515518081182E12,2.6541032728633795E7
355,-2.4814962514312764E12,-1.6654185232230608E12,2.6592057970410593E7
356,-2.487995479823706E12,-1.6699854327278289E12,2.6643082514270347E7
357,-2.494494616487488E12,-1.6745522806449512E12,2.6694106363987282E7
358,-2.500993661910299E12,-1.679119067294439E12,2.6745129523305316E7
359,-2.507492616575932E12,-1.683685792993813E12,2.6796151995938387E7
360,-2.5139914809643384E12,-1.6882524580581287E12,2.684717378557077E7
361,-2.5204902555516646E12,-1.6928190628000017E12,2.6898194895857375E7
362,-2.5269889408102964E12,-1.6973856075296333E12,2.694921533042406E7
363,-2.533487537208896E12,-1.701952092554835E12,2.7000235092867933E7
364,-2.5399860452124424E12,-1.706518518181053E12,2.7051254186757654E7
365,-2.546484465282269E12,-1.7110848847113926E12,2.7102272615633722E7
366,-2.5529827978761025E12,-1.715651192446642E12,2.715329038300877E7
